cve_id,actual_score,predicted_score,residual,abs_residual,flagged,severity_band
CVE-2022-4707,4.3,5.7457,-1.4457,1.4457,True,MEDIUM
CVE-2013-5993,6.8,5.3553,1.4447,1.4447,True,MEDIUM
CVE-2000-0878,7.5,8.9447,-1.4447,1.4447,True,HIGH
CVE-2012-3199,7.2,8.6414,-1.4414,1.4414,True,HIGH
CVE-2025-4267,4.7,6.1411,-1.4411,1.4411,True,MEDIUM
CVE-2025-5833,6.8,5.3592,1.4408,1.4408,True,MEDIUM
CVE-2022-1488,4.3,5.7406,-1.4406,1.4406,True,MEDIUM
CVE-2008-4060,7.5,8.9404,-1.4404,1.4404,True,HIGH
CVE-2023-5691,4.4,5.8398,-1.4398,1.4398,True,MEDIUM
CVE-2025-31714,6.8,5.3611,1.4389,1.4389,True,MEDIUM
CVE-2015-7205,10.0,8.5612,1.4388,1.4388,True,CRITICAL
CVE-2008-4165,4.0,5.4377,-1.4377,1.4377,True,MEDIUM
CVE-2025-66386,4.1,5.5373,-1.4373,1.4373,True,MEDIUM
CVE-2014-0168,6.8,5.3651,1.4349,1.4349,True,MEDIUM
CVE-2012-4731,4.0,5.4349,-1.4349,1.4349,True,MEDIUM
CVE-2008-4936,6.9,5.4656,1.4344,1.4344,True,MEDIUM
CVE-2024-32206,4.6,6.0338,-1.4338,1.4338,True,MEDIUM
CVE-2009-4922,6.8,5.3663,1.4337,1.4337,True,MEDIUM
CVE-2019-13758,4.3,5.733,-1.433,1.433,True,MEDIUM
CVE-2005-0735,10.0,8.5674,1.4326,1.4326,True,CRITICAL
CVE-2023-51692,4.3,5.7314,-1.4314,1.4314,True,MEDIUM
CVE-2018-18645,4.3,5.7312,-1.4312,1.4312,True,MEDIUM
CVE-2008-3127,6.8,5.3698,1.4302,1.4302,True,MEDIUM
CVE-2025-8065,6.5,5.0707,1.4293,1.4293,True,MEDIUM
CVE-2010-2011,4.0,5.4292,-1.4292,1.4292,True,MEDIUM
CVE-2013-5556,6.8,5.3734,1.4266,1.4266,True,MEDIUM
CVE-2007-3092,9.3,7.8743,1.4257,1.4257,True,CRITICAL
CVE-2014-9583,10.0,8.5749,1.4251,1.4251,True,CRITICAL
CVE-2019-18668,6.5,5.0752,1.4248,1.4248,True,MEDIUM
